transaction_id,student_key,course_week,group_code,item
W01-SYN001,SYN001,1,G10,attendance_recorded
W01-SYN001,SYN001,1,G10,concept_map_submitted
W01-SYN001,SYN001,1,G10,task_submitted
W01-SYN001,SYN001,1,G10,task_late
W01-SYN001,SYN001,1,G10,quiz_completed
W01-SYN001,SYN001,1,G10,high_monday_activity
W01-SYN001,SYN001,1,G10,practical_verified
W01-SYN001,SYN001,1,G10,project_activity
W01-SYN001,SYN001,1,G10,asked_for_help
W02-SYN001,SYN001,2,G10,attendance_recorded
W02-SYN001,SYN001,2,G10,concept_map_submitted
W02-SYN001,SYN001,2,G10,task_submitted
W02-SYN001,SYN001,2,G10,task_on_time
W02-SYN001,SYN001,2,G10,multiple_attempts
W02-SYN001,SYN001,2,G10,practical_verified
W02-SYN001,SYN001,2,G10,project_activity
W03-SYN001,SYN001,3,G10,concept_map_submitted
W03-SYN001,SYN001,3,G10,multiple_attempts
W04-SYN001,SYN001,4,G10,attendance_recorded
W04-SYN001,SYN001,4,G10,task_submitted
W04-SYN001,SYN001,4,G10,task_late
W04-SYN001,SYN001,4,G10,multiple_attempts
W04-SYN001,SYN001,4,G10,project_activity
W05-SYN001,SYN001,5,G10,attendance_recorded
W05-SYN001,SYN001,5,G10,concept_map_submitted
W05-SYN001,SYN001,5,G10,task_submitted
W05-SYN001,SYN001,5,G10,task_on_time
W05-SYN001,SYN001,5,G10,practical_verified
W05-SYN001,SYN001,5,G10,project_activity
W06-SYN001,SYN001,6,G10,attendance_recorded
W06-SYN001,SYN001,6,G10,task_submitted
W06-SYN001,SYN001,6,G10,task_on_time
W06-SYN001,SYN001,6,G10,quiz_completed
W06-SYN001,SYN001,6,G10,quiz_high
W06-SYN001,SYN001,6,G10,high_monday_activity
W07-SYN001,SYN001,7,G10,multiple_attempts
W07-SYN001,SYN001,7,G10,project_activity
W08-SYN001,SYN001,8,G10,attendance_recorded
W08-SYN001,SYN001,8,G10,concept_map_submitted
W08-SYN001,SYN001,8,G10,quiz_completed
W08-SYN001,SYN001,8,G10,project_activity
W01-SYN002,SYN002,1,G04,attendance_recorded
W01-SYN002,SYN002,1,G04,concept_map_submitted
W01-SYN002,SYN002,1,G04,task_submitted
W01-SYN002,SYN002,1,G04,task_on_time
W01-SYN002,SYN002,1,G04,quiz_completed
W01-SYN002,SYN002,1,G04,low_monday_activity
W01-SYN002,SYN002,1,G04,practical_verified
